Architecture,Fabrication (nm),Family,Production Date,Code name,Model Group,Cores,Clock rate (MHz),Bus Speed & Type[a],Cache,Cache,Cache,Socket,Memory Controller,Features,Features,Features
Architecture,Fabrication (nm),Family,Production Date,Code name,Model Group,Cores,Clock rate (MHz),Bus Speed & Type[a],L1,L2,L3,Socket,Memory Controller,SIMD,Speed/Power,Other
K10,65,Phenom,,Agena,"9100e,9150e, 9350e, 9450e, 9500, 9550, 9600, 9600B, 9600BE, 9650, 9670, 9750, 9750B, 9850, 9850B 9850BE, 9950BE",4,1800-2600,"1600, 1800, 2000",64+64,512,2048,Socket AM2+,,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10,65,Phenom,,Toliman,"8250e, 8400, 8450, 8450e, 8550, 8600, 8600B, 8650, 8750, 8750B, 8750BE, 8850",3,1900-2500,"1600, 1800",64+64,512,2048,Socket AM2+,,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10,65,Athlon X2,,Kuma,6500BE,2,2300,"1600, 1800",64+64,1024,,Socket AM2+,,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10,65,Athlon X2,,Kuma,"7450, 7550, 7750BE, 7850BE",2,2400-2800,"1600, 1800",64+64,1024,2048,Socket AM2+,,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10,65,Athlon,,Lima,,1,2400–2700,"1600, 1800",64+64,"512, 1024",,Socket AM2+,,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10,65,Sempron,,Sparta,,1,2700,1600,64+64,512,,Socket AM2+,,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Phenom II,,Thuban,"1100T, 1090T, 1075T, 1055T, 1045T",6/6,2600-3300,"1800, 2000",64+64,512,6144,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Phenom II,,Zosma,"840T, 960T, 970(E0 stepping)",4/6,3000-3400,"1800, 2000",64+64,512,6144,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Phenom II,,Deneb,"980, 975, 970, 965, 955, 945, 940, 925, 920, 910e, 905e, 830, 820, 810, 805",4/4,2500-3700,"1800, 2000",64+64,512,6144 (805-820 only 4096),Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Phenom II,,Heka,"740, 720, 705e",3/4,2500–2800,2000,64+64,512,6144,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Phenom II,,Callisto,"570, 565, 560, 555, 550, 545",2/4,3000-3400,2000,64+64,512,6144,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Athlon II,,Propus,,4,2200–2800,2000,64+64,512,,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Athlon II,,Rana,,3,2200–3100,2000,64+64,512,,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Athlon II,,Regor,,2,1600-3600,2000,64+64,"512, 1024",,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",Cool'n'Quiet,"AMD64,  NX bit,  AMD-V"
K10.5,45,Sempron,,Sargas,130,1,2600,2000,64+64,512,,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",PowerNow!,"AMD64,  NX bit,  AMD-V"
K10.5,45,Sempron,,Sargas,140,1,2700,2000,64+64,1024,,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",PowerNow!,"AMD64,  NX bit,  AMD-V"
K10.5,45,Sempron,,Sargas,145,1,2800,2000,64+64,1024,,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",PowerNow!,"AMD64,  NX bit,  AMD-V"
K10.5,45,Sempron,,Sargas,150,1,2900,2000,64+64,1024,,Socket AM2+ Socket AM3,DDR2 DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",PowerNow!,"AMD64,  NX bit,  AMD-V"
K10.5,45,Turion II,,Caspian, ,2,2000-2700,"1800, 1600",64+64,"512, 1024", ,Socket S1G3,DDR2,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",PowerNow!,"AMD64,  NX bit,  AMD-V"
K10.5,32,Llano,,Llano,"E2-3200, A4-3300, A4-3420, A6-3500, A6-3600, A6-3620, A6-3650, A6-3670K, A8-3800, A8-3820, A8-3850, A8-3870K",2/3/4,2100-3000,,64+64,"1024, 3072, 4096",,Socket FM1,DDR3,"MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!",PowerNow!,"AMD64,  NX bit,  AMD-V"
Bobcat,40,Bobcat,,"Desna, Ontario, Zacate","C-series, E-series, G-series, Z-series",1/2,1000 - 1750,,32 + 32,512 KB (per core),,FT1,DDR3,"MMX, SSE, SSE2, SSE3, SSE3s, SSE4a",PowerNow!,"AMD64,  NX bit,  AMD-V"
